Date;Country;Cases;Deaths;Population;retail_and_recreation_percent_change_from_baseline;grocery_and_pharmacy_percent_change_from_baseline;parks_percent_change_from_baseline;transit_stations_percent_change_from_baseline;workplaces_percent_change_from_baseline;residential_percent_change_from_baseline;walking;driving;;
06/03/2021;Estonia;1540;7;1328976;-56.0;-8.0;-34.0;-48.0;-21.0;9.0;71.69;82.38;;
06/03/2021;Finland;704;1;5525292;-32.0;-6.0;-7.0;-51.0;-8.0;7.0;89.41;117.73;;
06/03/2021;France;21912;439;67320216;-40.0;0.0;4.0;-24.0;-19.0;7.0;89.87;98.1;;
06/03/2021;Germany;9557;300;83166711;-51.0;-2.0;37.0;-38.0;-8.0;8.0;95.78;86.87;;
06/03/2021;Greece;2181;32;10718565;-62.0;4.0;10.0;-55.0;-30.0;10.0;83.7;60.62;;
06/03/2021;Hungary;7269;146;9769526;-21.0;9.0;12.0;-18.0;-2.0;4.0;62.33;90.68;;
06/03/2021;Ireland;520;9;4964440;-49.0;7.0;18.0;-59.0;-24.0;11.0;56.6;60.22;;
06/03/2021;Italy;24010;297;59641488;-42.0;-4.0;-17.0;-43.0;-23.0;11.0;65.71;70.44;;
06/03/2021;Latvia;746;14;1907675;-36.0;-10.0;1.0;-42.0;-16.0;5.0;67.08;80.82;;
06/03/2021;Lithuania;451;9;2794090;-51.0;15.0;14.0;-41.0;0.0;4.0;90.39;72.03;;
06/03/2021;Luxembourg;186;5;626108;-33.0;6.0;31.0;-24.0;-13.0;7.0;111.53;81.1;;
06/03/2021;Netherlands;4668;32;17407585;-45.0;1.0;35.0;-45.0;-1.0;8.0;91.7;77.89;;
06/03/2021;Norway;570;0;5367580;-31.0;-6.0;4.0;-47.0;-14.0;6.0;92.85;86.9;;
06/03/2021;Poland;15831;263;37958138;-25.0;0.0;10.0;-29.0;-2.0;3.0;98.63;91.28;;
06/03/2021;Portugal;949;28;10295909;-63.0;-18.0;-34.0;-59.0;-29.0;15.0;39.48;49.21;;
06/03/2021;Romania;4342;101;19328838;-30.0;-2.0;-35.0;-29.0;-9.0;0.0;84.2;81.58;;
06/03/2021;Slovakia;5363;105;5457873;-56.0;-5.0;1.0;-48.0;-12.0;8.0;75.29;55.65;;
06/03/2021;Slovenia;884;0;2095861;-37.0;1.0;13.0;-26.0;-9.0;5.0;89.38;84.07;;
06/03/2021;Spain;0;0;47332614;-39.0;-1.0;-8.0;-28.0;-17.0;7.0;84.44;86.45;;
06/03/2021;Sweden;3455;12;10327589;-25.0;-6.0;24.0;-37.0;-4.0;5.0;95.83;116.04;;
07/03/2021;Austria;2846;16;8901064;-56.0;-15.0;39.0;-30.0;-20.0;5.0;68.05;82.53;;
07/03/2021;Belgium;799;19;11522440;-41.0;5.0;53.0;-24.0;-4.0;6.0;99.56;91.35;;
07/03/2021;Bulgaria;1426;22;6951482;-17.0;10.0;44.0;3.0;-12.0;-3.0;92.35;87.77;;
07/03/2021;Croatia;658;15;4058165;-24.0;6.0;44.0;-18.0;-13.0;0.0;92.3;88.52;;
07/03/2021;Czechia;9167;159;10693939;-60.0;-11.0;18.0;-39.0;-12.0;9.0;44.72;54.98;;
07/03/2021;Denmark;394;0;5822763;-22.0;-9.0;42.0;-42.0;-4.0;5.0;95.52;99.02;;
07/03/2021;Estonia;1319;9;1328976;-52.0;-6.0;-19.0;-47.0;-19.0;7.0;65.94;80.0;;
07/03/2021;Finland;648;2;5525292;-36.0;-11.0;2.0;-52.0;-6.0;6.0;74.22;99.09;;
07/03/2021;France;13697;170;67320216;-38.0;18.0;7.0;-25.0;-10.0;3.0;59.15;85.24;;
